NOW,76.68794981886872,39.87155999672314,412.4844055175781,88.05470275878906,299.5879211425781,1111156752,4,3,0,702,'LSHJP','LSHJP_702'
NOW,82.84281271090119,41.92787611524672,412.988755941391,85.81171798706055,297.4526605606079,1111156754,4,3,1,702,'LSHJP','LSHJP_702'
NOW,83.4397940911758,41.864755563322504,414.1149470806122,85.31115037202835,294.93643045425415,1111156754,4,2,1,702,'LSHJP','LSHJP_702'
NOW,81.21799382985532,41.71081560699864,416.4748513698578,84.02749699354172,294.77874356508255,1111156756,5,0,0,702,'LSHJP','LSHJP_702'
NOW,83.95255659800777,41.86180330975594,415.2097907066345,86.51256555318832,294.6825148463249,1111156758,0,0,1,702,'LSHJP','LSHJP_702'
NOW,80.56825592567237,41.19032360517017,417.5005900859833,84.10018199682236,294.27279061079025,1111156759,4,3,1,702,'LSHJP','LSHJP_702'
NOW,87.13978808106359,43.49207644217152,418.17807906866074,81.54506987333298,292.6797794699669,1111156759,0,3,0,702,'LSHJP','LSHJP_702'
NOW,77.37150430834409,40.072851865922004,417.6870940923691,84.19828003644943,292.57084280252457,1111156761,4,1,0,702,'LSHJP','LSHJP_702'
NOW,86.31838789512105,43.10560447449161,415.6348522901535,82.05030220746994,290.6956664919853,1111156765,5,2,0,702,'LSHJP','LSHJP_702'
NOW,82.1135429789593,41.961287324610524,413.93429350852966,84.37607926130295,288.3806149363518,1111156766,0,4,0,702,'LSHJP','LSHJP_702'
NOW,83.2192829556579,41.87979089516611,412.6373099088669,85.32614380121231,288.14952063560486,1111156768,3,3,1,702,'LSHJP','LSHJP_702'
NOW,79.01185172294332,40.56331001064432,410.3149656057358,84.76308196783066,285.75192499160767,1111156771,0,0,1,702,'LSHJP','LSHJP_702'
NOW,86.44003583189799,43.174451622311494,410.3076664209366,82.03758043050766,283.1033742427826,1111156772,1,5,1,702,'LSHJP','LSHJP_702'
NOW,79.03359215685104,40.57250772223194,408.70975971221924,82.9587870836258,282.12499541044235,1111156774,5,3,1,702,'LSHJP','LSHJP_702'
NOW,80.75259965792534,41.33341550760895,410.6976406574249,80.96631169319153,281.06432658433914,1111156775,5,3,1,702,'LSHJP','LSHJP_702'
NOW,87.14957997478119,43.50482772578726,412.5031110048294,83.81537055969238,279.14767223596573,1111156776,5,5,1,702,'LSHJP','LSHJP_702'
NOW,85.31661747377566,42.270793833508925,412.91866332292557,83.22174817323685,276.6117659211159,1111156777,0,2,1,702,'LSHJP','LSHJP_702'
NOW,76.75786351581787,39.88728258069106,412.2803319096565,80.51109248399734,275.7386602163315,1111156778,2,3,1,702,'LSHJP','LSHJP_702'
NOW,83.29268783322345,41.87799870728165,412.46298336982727,80.57716763019562,273.3232637643814,1111156782,3,2,1,702,'LSHJP','LSHJP_702'
NOW,77.0098316816833,39.96595139850224,410.24408984184265,79.010302901268,270.40321147441864,1111156783,5,0,1,702,'LSHJP','LSHJP_702'
NOW,81.18020245891282,41.67869030897912,409.728540122509,78.51068156957626,268.1596964597702,1111156785,0,2,0,702,'LSHJP','LSHJP_702'
NOW,86.10602396538651,42.82134068250874,407.8617015480995,78.44925791025162,267.23805475234985,1111156785,0,0,1,702,'LSHJP','LSHJP_702'
NOW,83.96200023455401,41.86870980648487,410.2978063225746,75.8629167675972,266.85302114486694,1111156788,5,0,1,702,'LSHJP','LSHJP_702'
NOW,79.63732157914077,40.80927377516847,407.35515600442886,76.91147309541702,266.01508617401123,1111156790,2,3,1,702,'LSHJP','LSHJP_702'
